index,s1,r,s2
1,Kuko,specializing in,style sushi
1,David Gelb ’ s,hit,Netflix series
2,New Martha Washington Bakery,snaked through,door
2,New Martha Washington Bakery,snaked through,city blocks
3,Fortune reports,funding,beef pilot programs
3,Fortune reports,funding,Canada
3,Canada,nonprofit,beef supply chain
3,Brazil,nonprofit,beef supply chain
4,champagne showers,over at,Copenhagen restaurant
4,chef / owner Ren é Redzepi,announced,service director Lau Richter
4,chef,gift,New partners
4,staff members New partners partners,close,New partners
4,New partners,close,New partners
4,New partners,are,New partners
4,New partners,open,New partners
5,Amazon,employed,United States
5,Amazon,in,United States
5,Amazon delivery venture stateside,in,United States
6,Saudi,owned,Saudi
6,Saudi,owned,saffron rice
6,Saudi,owned,lamb skewers
6,Saudi,employed,lamb skewers
6,Saudi,taught,lamb skewers
7,Sandy wife Sandy,purchased,Blackberry Farm
8,Munich Environmental Institute,discovered,country 's beer
8,Munich Environmental Institute,in,country 's beer
10,Tennessee restaurant 's cash register,via,cash
10,burglar,sought,Dale 's Pale Ale
10,burglar,imbibing in,brewery Oskar Blues
10,solace,imbibing in,brewery Oskar Blues
10,Dale 's Pale Ale,imbibing in,beer
10,Dale 's Pale Ale,imbibing in,Colorado
10,Dale 's Pale Ale,imbibing in,brewery Oskar Blues
10,Dale 's Pale Ale,from,brewery Oskar Blues
10,Dale 's Pale Ale,based,brewery Oskar Blues
12,General Mills,issued,General Mills Gold Medal Flour label
13,Chipotle attempts,talk,Chipotle employees
13,Chipotle act,shutter,Chipotle employees
13,Chipotle act,talk,Chipotle employees
13,Chipotle act,talk,food safety
13,Chipotle,talk,Chipotle employees
13,Chipotle stores,talk,Chipotle employees
14,Christine Flynn — Executive Chef,at,Toronto 's iQ Food
14,Flynn 's identity,tonight,Top Chef
14,Flynn 's identity,hit,Top Chef
14,Flynn 's identity,revealed on,Top Chef
15,dreary,rule,America
15,dreary,rule,PepsiCo PepsiCo Or
15,Pepsi,opening,New York restaurant
15,Pepsi,opening,Kola
15,PepsiCo,capture,Generation Next
15,executive chef,bartender,Alex Ott
15,Caleb 's Kola,targeting,soda
17,people,love,Louisiana brand Tabasco
18,Sentinel,scan for,DNA
18,Sentinel,scan for,coli
18,Sentinel,scan for,salmonella
18,Sentinel,scan for,born microorganisms
18,device,scan for,coli
18,device,scan for,salmonella
18,device,scan for,born microorganisms
18,Blue Bell Creameries,struggled with,illnesses
18,Blue Bell Creameries,struggled with,one person
18,Blue Bell Creameries,recalled bagged,one person
19,pricey pop,sold,people
20,woman,was fired by,KFC restaurant manager
20,Richmond,was fired by,KFC restaurant manager
20,Georgia Carter,contacted,TV station
20,Georgia Carter,contacted,Richmond
20,restaurant 's management,identified,bathroom Georgia Carter
20,Georgia Carter driver 's license,identified,bathroom Georgia Carter
