index,s1,r,s2,t1,t2,ct1,ct2
0,Harry Reasoner,of,Vinson & amp ; Elkins,/PERSON,,,
1,Forecasting,of,Litigation Sciences ' work,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
2,interviews,with,thousands of jurors,,,,
3,master,in,master 's degree,,,,
3,degree,works in,deli,,,,
4,Litigation Sciences,represents,the defense,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
6,Litigation Sciences,reshaping,world of law,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
7,Litigation Sciences,unit of,Saatchi & amp ; Saatchi PLC,/ORGANIZATION /ORGANIZATION/CORPORATION,/ORGANIZATION,,
8,Litigation Sciences,helped,billion jury verdict,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
8,billion jury verdict,against,Texaco Inc,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
9,National Football,of,antitrust charges,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
10,recall,of,mushrooms,,,,
10,recall,blamed for,food poisoning,,,,
10,food poisoning,blamed,early March,,,,
11,China,exported,65 million pounds,/GPE/COUNTRY /GPE,,,
12,spokesman,for,Chinese Embassy,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
13,management turnover,at,Reebok International,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
13,Joseph LaBonte,joined,Reebok,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
14,Mark Goldston,of,senior vice president,/PERSON,,,
15,Unreported alimony income,spotted,computer,,,,
15,alimony income,of,alimony,,,,
15,payer,gets,deduction,,,,
16,Passport applicants,must give,Social Security numbers,,,,
16,IRS,see whether,Americans living abroad,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
16,IRS,filing,returns,/ORGANIZATION/GOVERNMENT /ORGANIZATION,/GPE/COUNTRY /GPE,,
17,IRS computers,focus,target groups,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
18,IRS,are,projects,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
19,national office,has,21 noncriminal audit projects,,,,
19,Washburn,for,assistant,/PERSON,,,
20,Lipstein,absence,meeting,/PERSON,,,
21,telephone interview,from,New York,,/GPE/CITY /GPE,,
22,president,of,Meredith,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
23,Conde Nast Publications,unit,Advance Publications,/ORGANIZATION /ORGANIZATION/CORPORATION,/ORGANIZATION /ORGANIZATION/CORPORATION,,
24,Tharp,fouled,net,/PERSON,,,
24,IRS project,to catch,catfish farmers,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
25,Tharp,pleaded,evidence,/PERSON,,,
25,Tharp,filing,false return,/PERSON,,,
26,professions,offset,high income,,,,
26,losses,from,tax,,,,
28,IRS statistics,show,income,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
28,hiders,of,sole proprietors,,,,
28,sole proprietors,of,dealers,,,,
29,Telemedia,publish,Eating Well,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
30,Hearst,to publish,fall,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
30,9 Months,a,magazine,/WORK_OF_ART,,,
31,Time Warner,developing,spinoff,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
31,spinoff,aimed,kids,,,,
33,Schwartz,is a,business executive,/PERSON,,,
33,writer,in,New York,,/GPE/CITY /GPE,,
34,Matt Merola,an,agent,/PERSON,,,
34,agent,of,Jackson,,/ORGANIZATION,,
34,Jackson,in,New York,/ORGANIZATION,/GPE/CITY /GPE,,
36,Jackson,won,nickname,/PERSON,,,
36,October,for,World Series exploits,,,,
37,Jack Smalling,in,Ames,/PERSON,/GPE/CITY /GPE,,
38,junk bond sale,finance,designed,,,,
39,Ramada,hopes,propose,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
40,Shares,agreed,lower price,,,,
40,lower price,from,group,,,,
41,group,offering,group,,,,
