index,s1,r,s2
0,autonomous,drive,autonomous
0,Prologue Piloted Driving Concept,off,LA
0,central controller,known as,zFAS
0,twin - turbo,mated to,eight - speed transmission
0,hybrid setup,enables,677 hp
0,0 - 62 mph,comes in at,seconds
1,Dahler Design & Technik,outfit,Dahler Design
1,Dahler,gave Dahler,top
1,twin - turbo inline - six,lifts,twin
1,twin - turbo inline - six,lifts,369 lb - ft of torque
1,stainless - steel exhaust system,provides,throatier soundtrack
1,high performance brake system,lowers,400 mm discs
1,mods,include,wheels
1,wheels,staggered,inches front / rear
2,human error,building,cars
2,smashed Alfa Romeo Giulia,found by,Autoblog Netherlands
2,Quadrifoglio model,with,505 horsepower
2,Italian man,crashed,record lap time
3,Ford,launched,first Expedition
3,Expedition,switched to,SUV
3,Explorer,based on,old Volvo sedan platform
3,twin - turbo 3.5-liter EcoBoost,with,365 hp
3,Triton,has been,permanently canned
4,Ferrari,revealed,anniversary
4,Ferrari,only building,ten
4,488 Spider,achieved,0 - 62 mph
5,Porsche,pronounce,Porsche
5,mispronounced,makes,ears bleed
5,ridiculously pedantic,point out,ways
5,Porsche,is,fed up
6,Autonomous technology,hot topic in,car industry
6,Autonomous technology,aiming to,self
6,state of Michigan,first,authorize autonomous cars
6,states,relating,autonomous
6,Transportation Director Kirk Steudle,said,research
6,Ford,green light to test,Ford self - driving cars
7,awesome cars,featured,road trip
7,Top Gear,felt,Gear
7,Amazon,released,trailer
7,trio,in,England
7,guys,building,cars
7,custom cars,taking part,green motorsport event
7,custom car challenges,were some of,Top Gear
7,James May,s,custom job
7,episode,centering around,custom - built eco - cars
8,Lamborghini,keeping details about,Huracan Superleggera light
8,Lamborghini,s,Huracan “ Super Light
8,snow,pick out,new
8,camouflage,served,bull
8,Lamborghini,taking,high - horsepower machines
8,Superleggera,prototype,large rear wing
9,Bugatti Chiron,crashed into a,ditch
9,McLaren,suffered,New Zealand
9,Pagani Zonda,crashed,Tokyo
9,Pagani Zonda,was a one - off,special edition
9,Zonda,involved,Maybach
9,Zonda Zozo,delivered,Yusaku Maezawa
9,Pagani,s,Pagani 760 range
10,Los Angeles,is the,car capital
10,city limits,contain,million people
10,Alfa Romeo,show Alfa its,Stelvio
10,new Stelvio,intended,S curves
10,Angelenos,over,X
11,Bugatti,about to reveal,"new "" model"
11,Vision Gran Turismo,one - off,video
11,Veyron,compared a,beached whale whale
12,super,such as,BMW
12,super SUVs,such as,BMW X5 M
12,dough,splurge,two six - figure SUVs
12,M,get,0 - 60 mph
13,sinkhole,swallowed,eight historic Corvettes
13,two signed components,transfer,replacement parts
14,Brabus,created,monster
14,turbocharged V8 engine,pumps out,lb - ft of torque
14,standard turbos,replaced by,larger compressor units
14,exhaust system,with,stainless steel dual - side tailpipes
14,Widestar,can get to,62 mph
14,Brabus 850 G63 Widestart,at,Frankfurt Motor Show
15,The King,winning,the NASCAR Championship seven times
15,racing legend,donated,Mustang
15,Petty,features,Mustang blue color combination
15,Petty,s,spoiler
15,Mustang,features,performance parts
15,Mustang,fitted with,Roush TVS 2300 Supercharger
15,TVS 2300 Supercharger,with,cold - air intake
15,Petty,comes,Big Brake Kit
15,Mecum Auctions,at,Dallas Auction
16,Continental Orange Porsche 918 Spyder,with,Weissach package
16,Weissach package,boosts,918
16,918 wheels,replacing,magnesium units
16,Porsche 918 Spyder,powered by,engine
17,Dodge Viper,s,future
17,the Viper,be phased,2017
17,Viper,become,halo model
17,one Carroll Shelby,consulted on,early
17,Dodge,gives the,Viper
17,Phase II Viper GTS,built from,1995 through 2002
17,they,were,blue
18,aerodynamics,found out,performance
18,automotive engineers,were,airplane - throwing goofs
18,new model,feature,new aerodynamic technology
18,Automakers,designed,active aero systems
18,Yokohama,announced,Yokohama
18,Yokohama,involves,fins
18,sidewall fins,may take away from the aesthetics of,rims
19,Max Siedentopf,is,Dutch artist
19,Max Siedentopf,modify,tuner
19,Max Siedentopf,uses,masking tape
19,Max Siedentopf project,is called,Slapdash Supercars
19,Max Siedentopf,talked,individuality
19,cars,personalized,self
19,hatch,with,cardboard wing
20,war,waged by,fuel
20,Tesla,banking on,electricity
20,Toyota,thinks,electric cars
20,cell vehicles,on,gas / electric hybrids
20,Toyota,takes off,battery power
20,Toyota,to make,hydrogen revolution happen
20,Energy,including,12
21,Night Edition models,Set to debut at,Detroit Auto Show
21,radiator grille,lavished in,high - gloss black finish
21,AMG multi - spoke light - alloy wheels,feature,high - sheen rim flange
21,S,come,look
21,Night Edition ” badge,fitted to,front wings
22,words,typed,pages
22,tread,is,main difference
22,summer,of,melting points
22,Summer tires,have,rubber compound
22,summer tires,turn into,traction - free rock
23,reveals,expected at,Detroit Auto Show
23,show,opens,press
23,Detroit,in,North America
23,Porsche,would n't be the,Detroit Auto Show
23,Ford,revealed,2017 GT
23,prototype,features,aggressive aerodynamics kit
24,Mitsubishi,closed Japanese,North American factory
24,Outlander Sport,opened,1988
24,Rivian,talks,plant
24,Rivian,plans,175 million
24,Rivian Automotive,founded in,2009
24,Rivian,developing,products
24,mission,redefine,traditional automotive economics
24,Illinois,says,Coming
25,your cars,using,of boxes
25,wheel,underneath,fridge
25,Ford Taurus,of,the mid 80 ’ s
25,consumers,longer afford to pay,boxier cars
25,cars,like,ultra
26,BMW,s,M Division
26,BMW,s line of,xDrive vehicles
26,Bimmer,will encapsulate,both drive modes
26,owners,wrapped in,AWD safety
26,owners,wrapped in,sleek package
26,Mercedes,did with the,new AMG
26,AMG,features,drift mode
27,Aston Martin DB4 GT,of,the 1960 ’ s
27,25,being,built
27,Christmas,aren,Summer 2017
27,Aston,s,GT
27,GT,remains faithful to,1960 ’ s
27,GT,based on,ultra - rare lightweight model
28,Lamborghini,making,SUV
28,Urus,revealed,2012 Bejing Auto Show
28,Top Gear Magazine,s,Rowan Horncastle
28,Lamborghini,lurking on,wrapping
28,Volkswagen family,design inspiration from,Audi
29,autonomous car,strip away,jobs
29,wiped out,during,transition
29,automakers,distinguish,automakers
29,Cars,like,Honda
29,Lexus,like,lofty comfort
29,car,can drive,car
