index,s1,r,s2
0,Harry Reasoner,attorney,Transportation
0,Harry Reasoner,of,Energy Transportation trial
3,master 's degree,in,master
3,master 's degree,in,classical arts
4,Litigation Sciences,represents,defense
4,Sciences,identify,lawyers
4,Sciences,identify,people
7,Litigation Sciences,employs more,than 100 psychologists
8,Litigation Sciences,win,billion jury verdict
8,jury verdict,against,Texaco Inc
9,National Football League,advised,defense
9,defense,of,United
10,recall,of,mushrooms
10,recall,blamed for,food poisoning
10,recall,for,early March
11,China,exported,65 million pounds
11,mushrooms,valued,47 million
12,spokesman,for,Chinese Embassy
13,management turnover,at,Reebok International
13,management turnover,of,company president
13,management turnover,joined,Reebok
13,Joseph LaBonte,joined,Reebok
14,resignation,as,senior vice president
15,Unreported alimony income,spotted,computer
15,alimony,of,payer
15,payer,of,deduction
16,Passport applicants,must give,Social Security numbers
16,IRS,see whether,Americans living abroad
16,IRS,whether,returns
17,IRS computers,focus,target groups
17,agency,assigned,special projects
18,projects,are,local or regional
19,national office,has,21 noncriminal audit projects
19,Marshall V. Washburn,for,examination
20,Lipstein,absence,meeting
21,Lipstein,in,telephone interview
21,telephone interview,from,New
22,president,of,Meredith
23,small,of,publishing groups
23,magazines,unit of,Advance Publications
24,Tharp,fouled,net
24,net,on,special IRS project
24,special IRS project,to catch,catfish farmers
24,IRS project,catch,catfish farmers
25,Tharp,pleaded,guilty
25,Tharp,filing,false return
26,efforts,offset,high income
26,income,with,phony tax shelters
26,fake losses,from,phony tax shelters
27,Church of Scientology,over,exemptions
27,Supreme Court,held,church
28,statistics,of,income
28,statistics,among,sole proprietors
28,hiders,include,dealers
29,Telemedia,publish,Eating Well
30,Hearst,this,fall
31,Time Warner,developing,spinoff
31,spinoff,of,kids
32,Donald Kummerfeld,of,Magazine Publishers of America
33,Schwartz,is,business executive
33,Schwartz,and,writer
33,Schwartz,in,New York
34,Matt Merola,an,agent
34,agent,of,Jackson 's based
36,Jackson,for,Series
36,Jackson,for,World Series exploits
37,Jack Smalling,a,dealer
37,Jack Smalling,in,Ames
38,Ramada,delayed,400
38,Ramada,shelved,400 million junk
38,million junk bond sale,finance,restructuring
39,Ramada,hopes to,new restructuring plan
40,Shares,of,American Medical International
40,American Medical International,agreed,week
40,accept,from,group
40,lower,includes,First Boston
41,group,offering,a share
41,a share,for,63 million American Medical shares
42,Hilton Hotels,among,issues
42,Hilton Hotels,falling,85
43,McCaw,offering,125 a share
43,McCaw,for,22 million LIN shares
43,McCaw,challenging,proposal
44,LIN shares,dropping,fall
45,BellSouth,viewed,corporate buyer
46,Rattner,of,Lazard
47,sales contracts,of,sales volumes
47,sales contracts,of,amount of product sold on the spot market
48,Resource Partners,of,technology
48,Resource Partners,receives,royalty payments
49,Alan Gaines,of,New York money-management firm Gaines Berland
50,Steven Rattner,with,merger specialist
50,Steven,with,Lazard Freres & amp ; Co
51,setbacks,weakening,junk bond market
52,Diane S. Killory,will join,Morrison & amp ; Foerster
52,Diane S. Killory,join,a partner
52,Diane S. Killory,in,Washington
54,Killory,resigned,Federal Communications Commission general counsel
54,Killory,resigned,Federal
55,woman,appointed,FCC general counsel
56,RICHARD P. MAGURNO,formerly,Eastern Airlines ' top lawyer
56,RICHARD P. MAGURNO,formerly,New York law firm
56,RICHARD P. MAGURNO,joined,New York law firm
58,EC steel industry,coping,strong European demand
58,EC steel industry,supplying,5
58,5,compared,recent
59,Japan,been,shipping steel
60,EC,increased,tons
60,quota,to,7
61,Japan,agreed,cut
62,records,relating to,architects
62,records,relating to,architects
62,records,relating to,stockbrokers
62,state,relating,New York City area
63,director,of,division
63,division,develops,programs
64,Schmedel,is,editor
64,editor,of,Wall Street Journal
65,product,in,market test
65,market test,in,Denver
66,consumers,on,detergent
66,consumers,in,pouches
66,fabric softener combinations,in,pouches
67,P,is,Cheer
67,Cheer,is,unique formula
67,Cheer,offers,ingredient
68,Hugh Zurkuhlen,an,analyst
68,analyst,at,Salomon Bros
71,extradition,of,Mohammed Rashid
71,Mohammed Rashid,a,Palestinian terrorist
72,Greek courts,decided,in favor of extradition
73,steelmakers,used,100 million
74,negotiations,allocate,15
74,negotiations,to,foreign suppliers
75,countries,with,Taiwan
76,countries,made,informal agreements
76,informal agreements,similar,quotas
77,Bus schedules,as,commuters
78,commute,takes,hour
78,Golden Gate Bridge,takes,hour
79,traffic,over,heavy
80,Charles Catania,an,insurance broker
80,insurance broker,on,bus
80,bus,from,Mill Valley
80,Mill Valley,in,Marin County
81,absenteeism,at,bank holding company
83,Selling Association,include,Amway
83,members,cooperate with,IRS
84,project,involves,350 IRS agents
85,nine months,ended,June 30
86,Jerry Lackey,manages,project
86,IRS project,of,force
86,force,of,nine agents
87,Retailers,in,Phoenix
88,A P & amp ; G spokeswoman,confirmed,shipments
88,shipments,to,Phoenix
89,company,introduced,superconcentrated Lemon Cheer
89,superconcentrated Lemon Cheer,in,Japan
90,Attack,hit,shelves
90,P & amp,of,8
90,share,fell to,8
91,science,hired,1977
91,International,hired,marketing professor
93,Vinson,got,law bug
94,IBM,won,case
95,Enron,considering building,power plants
95,Enron,in,500 megawatts
95,500 megawatts,at,cost
98,First Boston,completed,investment banker
98,venture,completed,investment banker
98,First Boston,completed,August
98,acquisition,of,Petrolane
99,Petrolane,is,propane distributor
100,Suburban Propane,owned,Quantum
102,massive temblor,killed,least 61 people
102,killed,severed,Bay Bridge
102,Bay Bridge,severed,Bay Bridge
103,several weeks,to,repair
104,Bay Area Rapid Transit subway system,carried,gridlock
105,UAL,fell,a share
106,UAL,put up,200 million
106,UAL,in,cash
107,UAL management,to pay,15 million
107,15 million,for,10
108,Citicorp,to,bank financing
109,UAL stock,fallen,33
110,Automatic Data,issue,debt
110,Automatic Data,issue,million shares
111,Automatic Data,redeeming,bonds
111,cost of,on,bonds
112,Dow Jones & amp,extended,tender offer
112,tender offer,of,18 a share
112,18,for,33
112,33,of,Telerate
113,offer,rejected,inadequate
114,Dow Jones,extended,offer
114,offer,to,supplement
114,shareholders,to,supplement
116,Quantum,confronts,disaster
116,disaster,at,plant
116,plant,in,Ill
117,prolonged production halt,at,plant
117,halt,introduce,another imponderable
118,plant,calculating,demand
118,meet demand,calculating,claims under
119,Fulbright & amp ; Jaworski,of,Houston
120,Gibson Gayle,of,Fulbright & amp ; Jaworski
121,firms,particularly,exports
122,arrangement,reached,eight months of negotiations
123,Shere,draw,cookbook
123,cookbook,published by,Random House four years
125,Shere,of,valuable notes
125,Shere,received,moral support
126,Food manufacturer,changes,spelling of
128,price,of,ethylene
129,own plants,cover only,half
130,China,putting in,orders
130,huge orders,for,polyethylene
131,Sciences,in,operation
132,LSI graphics,specialist,Robert Seltzer
133,Stephen Gillers,a,legal ethics expert
133,legal ethics expert,at,New York University law school
135,attorneys,paid,jobs
135,consultant,at,Litigation Sciences
136,period,was,gain
136,gain,was,77 million
136,sale,of,sale
137,1988 period,restated,net income
137,net income,of,8 million
138,Shearson,had,net income
138,net income,had,55 million
139,Shearson shares,lost,Exchange
140,commercial bank financing,for,purchase
141,Mexico,exported,average
141,barrels,a,day
142,orders,for,durable goods
142,orders,up,September
143,Sally Kleinman,an,economist
143,economist,at,Manufacturers Hanover Securities
143,Manufacturers Hanover Securities,in,New York
144,Orders,for,military goods
144,Orders,before,money
144,money,before,fiscal
145,numbers,adjusted,durable
145,durable goods report,adjusted for,seasonal fluctuations
146,Gerald Maier,of,pipeline and marketing concern
146,chief executive officer,of,pipeline
147,deregulation,of,market
148,TransCanada,transports,all gas
148,TransCanada,moves eastward from,Alberta
149,vice president,of,Gas
150,George Koskotas,of,Bank of Crete
151,Papandreou,received,23 million
151,23 million,of stolen,Bank of Crete funds
151,23 million,of,additional
152,former ministers,of,Koskotas
152,PASOK members,of,Parliament
153,Carpenter,a,regional correspondent
154,federal appeals court,in,San Francisco
154,San Francisco,ruled,shareholders
155,1984 suit,filed,shareholders
155,suit,of,Apple Computer
156,60 million charge,against,earnings
156,60 million charge,against,fourth quarter
157,charge,from,settlement approved yesterday
158,settlement,limits,rate increases
158,rate increases,for,three years
159,Pilgrim,closed,32 months
160,pastry chef,of,gripping
160,pastry chef,lost,priceless personal dessert notebook
161,jury,agreed,1986
162,jury,awarded,USFL
163,Court of Appeals,in,New York
164,Harvey D. Myerson,of,Myerson & amp ; Kuhn
164,Harvey D. Myerson,of,"Finley , Kumble , Wagner , Heine , Underberg , Manley , Myerson & amp"
164,Harvey D. Myerson,pursued,trial lawyer
164,Harvey D. Myerson,pursued,application appeal
165,Douglas R. Pappas,of,Myerson & amp ; Kuhn
165,million,of,USFL
165,award,directly,USFL
