index,s1,r,s2,t1,t2,ct1,ct2
0,Harry Reasoner,of,trial attorney,/PERSON,,,
1,Forecasting,part of,Litigation Sciences,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
3,master 's degree,in,classical arts,,,,
3,master 's degree,in,classical arts,,,,
4,Litigation Sciences,represents the,defense,/ORGANIZATION,,,
5,legal consulting firm,helping,America,,,,
6,Litigation Sciences,reshaping,of law,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
7,Litigation Sciences,a unit of,unit,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
7,Saatchi & amp ; Saatchi PLC,employs more,100,,,,
7,Litigation Sciences,more,psychologists,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
8,jury verdict,against,billion,,,,
9,National Football League,advised,defense,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
10,recall,of,mushrooms,,/SUBSTANCE,,
11,China,of,pounds,/GPE /GPE/COUNTRY,,,
11,pounds,of,mushrooms,,/SUBSTANCE,,
12,spokesman,for,Chinese Embassy,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
13,management turnover,at,Reebok International,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
13,Joseph LaBonte,joined,Reebok,/PERSON,/ORGANIZATION/CORPORATION /ORGANIZATION,,
14,departure,follows by,two months,,,,
14,Mark Goldston,resignation,senior vice president,/PERSON,,,
15,payer,of,alimony,,,,
15,alimony,report,Social Security number,,/ORGANIZATION,,
15,former spouse,report,Social Security,,/ORGANIZATION,,
16,Passport applicants,must give,Social Security numbers,,/ORGANIZATION,,
17,IRS computers,focus routinely,groups,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
18,IRS,are,local or regional,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
19,national office,has,21 noncriminal audit projects,,,,
19,commissioner,for,examination,,,,
21,Lipstein,in a,telephone interview,/PERSON,,,
22,president,of,Meredith,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
23,magazines,gobbled,American Express,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
24,Tharp,fouled,net,/PERSON,,,
24,IRS project,catch,catfish farmers,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
25,Tharp,pleaded,guilty,/PERSON,,,
26,high income,from,phony tax shelters,,,,
27,IRS,with,Church of Scientology,/ORGANIZATION/GOVERNMENT /ORGANIZATION,/ORGANIZATION,,
28,IRS statistics,show,income,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
28,hiders,of,income,,,,
28,income,of,dealers,,,,
28,hiders,include,entertainment producers,,,,
29,Telemedia,publish,Eating Well,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
30,Hearst,plans to publish,first issue,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
30,first issue,of,9 Months,,,,
31,Time Warner,developing,Time magazine,/ORGANIZATION/CORPORATION /ORGANIZATION,/ORGANIZATION/CORPORATION /ORGANIZATION,,
33,Schwartz,is a,business executive,/PERSON,,,
33,executive,and,writer,,,,
33,writer,in,New York,,/GPE /GPE/CITY,,
34,Matt Merola,an,agent,/PERSON,,,
34,agent,of,Jackson,,,,
34,Jackson,based in,New York,,/GPE /GPE/CITY,,
36,October,for,World Series exploits,,/ORGANIZATION,,
37,Jack Smalling,a,dealer,/PERSON,,,
37,dealer,in,Ames,,/GPE /GPE/CITY,,
38,Ramada,first delayed,junk bond sale,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
39,Ramada,hopes to propose,restructuring plan,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
40,Shares,of,American Medical International,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
40,American Medical International,agreed last,lower price,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
40,lower price,from,group,,,,
41,group,offering,a share,,,,
41,a share,for,63 million American Medical shares,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
42,Hilton Hotels,was,issues,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
43,McCaw,is offering,125 a share,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
43,125 a share,for,22 million LIN shares,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
45,BellSouth,viewed as,corporate buyer,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
46,Rattner,of,Lazard,/PERSON,/ORGANIZATION/CORPORATION /ORGANIZATION,,
47,sales,of its,unit,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
48,Resource Partners,owner of,technology,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
49,Alan Gaines,of,New York money-management firm Gaines Berland,/PERSON,/GPE /GPE/CITY /ORGANIZATION/CORPORATION /ORGANIZATION,,
50,Steven Rattner,a,partner,/PERSON,,,
50,merger specialist,with,Lazard Freres & amp ; Co,,,,
51,series,for,month,,,,
52,Diane S. Killory,will join,Morrison & amp ; Foerster,/PERSON,/PERSON,,
52,Morrison & amp ; Foerster,as,partner,/PERSON,,,
52,partner,in,Washington,,/GPE /GPE/CITY,,
54,Killory,resigned as,Federal Communications Commission general counsel,/PERSON,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
55,woman,appointed,FCC general counsel,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
56,RICHARD P. MAGURNO,formerly,Eastern Airlines,/PERSON,/ORGANIZATION/CORPORATION /ORGANIZATION,,
57,EC,largest,steel suppliers,,,,
59,Japan,been shipping,steel,/GPE /GPE/COUNTRY,,,
60,talks,increased,quota,,,,
60,quota,increased about,tons,,,,
61,Japan,agreed to cut,quota,/GPE /GPE/COUNTRY,,,
61,quota,to,5,,,,
62,state,combed through,records,,,,
62,records,relating to,architects,,,,
62,records,to,stockbrokers,,,,
63,director,of,division,,,,
63,division,develops,programs,,,,
64,Schmedel,is,editor,/PERSON,,,
64,Wall Street,of,Tax Report column,/ORGANIZATION/CORPORATION /ORGANIZATION,/ORGANIZATION,,
65,market test,in,Denver,,/GPE /GPE/CITY,,
66,P & amp ; G and others,hook,consumers,,,,
66,hook consumers,on,detergent,,/SUBSTANCE,,
66,fabric softener combinations,in,pouches,,,,
67,amp,is,unique formula,,,,
68,Hugh Zurkuhlen,an,analyst,/PERSON,,,
68,analyst,at,Salomon Bros,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
70,accord,concerning,military bases,,/GPE /GPE/COUNTRY,,
71,extradition,of,Mohammed Rashid,,/PERSON,,
71,Mohammed Rashid,a,Palestinian terrorist,/PERSON,,,
72,Greek courts,decided in,favor,,,,
73,steelmakers,supplied,100 million tons,/GPE /GPE/COUNTRY,,,
73,100 million tons,of,nation,,,,
74,negotiations,allocate,15,,,,
74,15,to,foreign suppliers,,,,
75,countries,do n't have formal steel quotas,steel quotas,,,,
76,of these countries,made informal,agreements,,,,
79,traffic,was,Golden Gate,,,,
80,Charles Catania,an,insurance broker,/PERSON,,,
83,Direct Selling Association,a,trade group,/ORGANIZATION,,,
83,members,include,IRS,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
83,IRS,distribute,material,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
84,project,began in,1988,,,,
84,project,involves,IRS agents,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
85,assistant commissioner,for,collection,,,,
87,Retailers,in,Phoenix,,/GPE /GPE/CITY,,
88,A P & amp ; G spokeswoman,confirmed,shipments,,,,
88,shipments,to,Phoenix,,/GPE /GPE/CITY,,
89,company,introduced,superconcentrated Lemon Cheer,,,,
89,Lemon Cheer,in,Japan,,/GPE /GPE/COUNTRY,,
90,Attack,hit,share,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
91,science,hired,marketing professor,,,,
92,Thomas Barr,for,IBM trial lawyers,/PERSON,/ORGANIZATION/CORPORATION /ORGANIZATION,,
94,IBM,won,case,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
95,Enron,considering building,power plants,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
98,Quantum,of,Petrolane,/ORGANIZATION/CORPORATION /ORGANIZATION,/ORGANIZATION/CORPORATION /ORGANIZATION,,
99,Petrolane,is,propane distributor,/ORGANIZATION,,,
100,Suburban Propane,owned by,Quantum,/ORGANIZATION/CORPORATION /ORGANIZATION,/ORGANIZATION/CORPORATION /ORGANIZATION,,
102,massive temblor,killed,61 people,,,,
103,several weeks,take,bridge,,,,
105,UAL,fell,a share,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
106,pilots,put up,cash,,,,
107,UAL management,to pay,15 million,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
107,15 million,for,10,,,,
109,UAL stock,fallen,33,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
110,Automatic Data,issue about,million shares,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
111,Automatic Data,redeeming,bonds,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
112,Dow Jones & amp,extended,tender offer,,,,
112,tender offer,of,18 a share,,,,
113,two independent directors,rejected,inadequate,,,,
114,Dow Jones,extended,offer,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
114,shareholders time,to,Jones tender offer circular,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
116,Quantum,confronts,disaster,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
116,disaster,at,plant,,,,
117,prolonged production halt,at,plant,,,,
118,plant,running,profit,,,,
118,claims,under,insurance,,,,
119,Fulbright & amp ; Jaworski,of,Houston,,/GPE /GPE/CITY,,
120,Gibson Gayle,together,Fulbright & amp ; Jaworski,/PERSON,/PERSON,,
121,Fulbright & amp ; Jaworski,Washington,Washington,/PERSON,/GPE /GPE/CITY,,
122,arrangement,of,negotiations,,,,
123,Shere,draw,cookbook,/PERSON,,,
123,cookbook,published by,Random House,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
124,Richard Mazzera,says,business manager,/PERSON,,,
126,Food manufacturer,changes spelling,spelling,,,,
128,price,of,polyethylene,,/SUBSTANCE /WORK_OF_ART,,
129,Quantum,own,needs,,/SUBSTANCE,,
129,plants,only,ethylene needs,,/SUBSTANCE,,
130,China,putting in huge,orders,/GPE,,,
130,orders,for,polyethylene,,/SUBSTANCE /WORK_OF_ART,,
131,Slick graphics,for,effectiveness,,,,
133,Stephen Gillers,a,legal ethics expert,/PERSON,,,
133,legal ethics expert,at,New York University law school,,/GPE /ORGANIZATION,,
134,Litigation Sciences,concedes,one in,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
135,attorneys,offer,consultant,,,,
135,consultant,at,Litigation Sciences,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
137,1988 period,restated from,net income,,,,
137,net income,of,8 million,,,,
138,Shearson,had,net income,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
138,net income,of,55 million,,,,
139,Shearson shares,lost,cents,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
140,Bank,decided,commercial bank financing,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
140,purchase,of,Boeing Co. 767 airliners,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
141,barrels,of,crude oil,,/SUBSTANCE,,
142,New orders,for,goods,,,,
143,Sally Kleinman,an,economist,/PERSON,,,
143,economist,at,Manufacturers Hanover Securities,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
143,Manufacturers Hanover Securities,in,New York,/ORGANIZATION/CORPORATION /ORGANIZATION,/GPE /GPE/CITY,,
144,Orders,for,military goods,,,,
145,report,adjusted for,seasonal fluctuations,,,,
146,chief executive officer,of,pipeline,,,,
146,chief executive,of,marketing,,,,
147,deregulation,of,1985,,,,
148,TransCanada,transports,all gas,/ORGANIZATION/CORPORATION /ORGANIZATION,/SUBSTANCE,,
149,vice president,of,Gas,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
149,Gas,a,gas marketing concern,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
151,Papandreou,received,23 million,/PERSON,,,
151,23 million,of stolen,Bank of Crete funds,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
152,Two former ministers,in,Parliament,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
153,Carpenter,a,regional correspondent,/PERSON,,,
153,regional correspondent,for,National Review,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
154,federal appeals court,in,San Francisco,,/GPE /GPE/CITY,,
155,ruling,filed by,shareholders,,,,
155,1984 suit,of,Apple Computer,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
156,60 million charge,in,fourth quarter,,,,
157,charge,from,settlement,,,,
157,settlement,approved,Massachusetts Department of Public Utilities,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
158,settlement,limits,rate increases,,,,
159,Pilgrim,closed for,32 months,/ORGANIZATION/CORPORATION /ORGANIZATION,,,
160,gripping question,of,Chez Panisse restaurant,,/ORGANIZATION/CORPORATION /ORGANIZATION,,
161,jury,in,claims,,,,
162,jury,awarded,USFL,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
163,Court of Appeals,in,New York,/GPE /GPE/COUNTRY,/GPE /GPE/CITY,,
163,award,of,attorneys,,,,
164,Harvey D. Myerson,of,Myerson & amp,/PERSON,,,
165,Douglas R. Pappas,of,Myerson & amp ; Kuhn,/PERSON,/PERSON,,
165,million,goes directly to,USFL,,/ORGANIZATION,,
