index,s1,r,s2
0,Harry Reasoner,of,Energy Transportation trial
0,Harry Reasoner,of,Vinson & amp ; Elkins
1,Forecasting,is,Litigation Sciences
3,master 's degree,in,classical arts
3,master,in,deli
4,Litigation Sciences,represents,defense
7,amp,employs more,100 psychologists
8,Litigation Sciences,helped,billion jury verdict
8,billion jury verdict,against,Texaco Inc
9,National Football League,advised,antitrust charges
10,recall,of,mushrooms
10,recall,blamed for,food poisoning
10,poisoning,blamed,early March
12,spokesman,for,Chinese Embassy
12,government,taken,contamination
13,management turnover,at,Reebok International
13,management turnover,resignation,president
13,Joseph LaBonte,joined,Reebok
14,departure,follows,two months
14,resignation,of,senior vice president
15,Unreported alimony income,be spotted,computer
15,alimony,gets,former spouse
16,Passport applicants,must give,Social Security numbers
16,IRS,whether,Americans living abroad
17,IRS computers,focus routinely,target groups
18,IRS,are,local or regional
19,national office,has,21 noncriminal audit projects
21,Lipstein,in a,telephone interview
21,interview,from,York
22,president,of,Meredith
23,American Express Publishing,unit,small publishing groups
24,Tharp,fouled,net
24,net,on,IRS project
24,IRS project,catch,catfish farmers
25,Tharp,pleaded,guilty
25,charge,filing,evidence
26,income,offset,losses
27,IRS,won,Church of Scientology
28,IRS statistics,show,income
28,income,of,businesses
28,sole proprietors,include,entertainment producers
29,Telemedia,publish,Eating Well
30,Hearst,this,first issue
30,first issue,of,9 Months
30,9 Months,publish,magazine
31,Time Warner,developing,spinoff
33,Schwartz,is a,business executive
34,agent,of,Jackson
34,Jackson,based in,New York
36,October,for,World Series exploits
37,Jack Smalling,a,dealer
37,Jack Smalling,in,Ames
38,Ramada,shelved,junk bond sale
39,Ramada,hopes to propose,propose
40,Shares,of,American Medical International
40,American Medical International,agreed,lower price
41,group,offering,a share
41,a share,for,63 million American Medical
42,Hilton Hotels,among,issues
43,McCaw,offering,125 a share
43,125 a share,for,22 million LIN shares
44,LIN shares,among,takeover issues
45,BellSouth,viewed,corporate buyer
46,Rattner,of,Lazard
47,sales volumes,under,sales contracts
47,sales contracts,of its,Freeport Uranium Recovery Co. unit
48,Resource Partners,owner of,technology
48,Resource,receives,royalty payments
49,Alan Gaines,of,New York money-management firm Gaines Berland
50,merger specialist,with,Lazard Freres & amp ; Co
51,Campeau,began weakening,market
52,Diane S. Killory,will join,Morrison & amp ; Foerster
52,Morrison & amp ; Foerster,as,partner
52,partner,join,Washington
53,She,develop,practice
53,practice,of,communications group
54,Killory,resigned as,Federal
55,first woman,appointed,FCC general counsel
56,RICHARD P. MAGURNO,formerly,Eastern Airlines
58,EC steel industry,supplying,market
59,Japan,been shipping,shipping steel
60,talks,increased,quota
61,Japan,agreed,quota
62,state,out,records
62,records,relating to,architects
62,state,relating to,architects
63,director,of,division
