index,s1,r,s2
0,Audi,unveiled,Las
0,Prologue,comes packing an,autonomous driving system
0,central controller,known as,zFAS
0,twin - turbo,mated,eight - speed transmission
0,twin - turbo,with,integrated electric motor
0,hybrid setup,generate,677 hp
0,hybrid setup,enables,701 lb - ft of torque
0,0 - 62 mph,comes in at,seconds
1,Dahler Design & Technik,introduce,convertible
1,Dahler,gave Dahler,top
1,twin - turbo inline - six,from,365 hp
1,twin - turbo inline - six,from,369 lb - ft of torque
1,twin - turbo inline - six,gives,baby - M 419
1,stainless - steel exhaust system,provides,throatier soundtrack
1,coil - over suspension,lowers,400 mm discs
1,wheels,include,inches front / rear
1,mods,include,an MID display unit
1,mods,include,interior
2,Automotive engineers,work,Automotive engineers
2,humans,prioritize,safety
2,smashed Alfa Romeo Giulia,found by,Autoblog Netherlands
2,Quadrifoglio model,with,505 horsepower
2,Quadrifoglio model,with,liters of twin - turbo real estate
2,46,t,record lap time
3,Ford,launched,Expedition
3,Ford,the full,size
3,SUVs,were,body - on - frame chassis SUVs
3,Expedition,switched to,crossover
3,Explorer,based on,Volvo sedan platform
3,redesign,snag,2017 Expedition
3,Expedition Platinum,powered,twin - turbo
3,Platinum,with,365 hp
3,twin - turbo,with,420 lb - ft of torque
4,Ferrari,commemorate,anniversary
4,Ferrari,revealed,limited - edition the
4,models,spawned,308 GTS
4,Ferrari,only building,ten
4,engine,lifted from,488
4,engine,lifted,681 hp
4,488 Spider,achieved,0 - 62 mph time
4,488 Spider,achieved,top speed of 202 mph
5,Porsche,pronounce,Porsche Porsche
5,Proper gearheads,say,Porsche
5,Proper gearheads,with,two syllables
6,Autonomous technology,hot topic,car industry
6,Autonomous technology,has,Autonomous technology
6,Autonomous technology,aiming to have,autonomous cars
6,Autonomous,aiming to have,autonomous cars
6,state,authorize,autonomous cars
6,Ford,test,Ford self - driving cars
7,The Grand Tour,hit,Grand Tour
7,awesome cars,featured,road trip
7,Amazon,released,The Grand Tour
7,trio,in,England
7,guys,building,cars
7,custom cars,taking part,video description
7,custom,of,Top Gear
7,guys,of,cars
7,entire episode,around,built eco - cars
8,Lamborghini,details,Huracan Superleggera light
8,Lamborghini,shrouding,heavy camouflage
8,bull,blend,bull
8,Lamborghini,taking,high - horsepower machines
8,center - locking bolts,replace,five - bolt wheels
8,Superleggera prototype,prototype,a spoiler in
9,Bugatti Chiron,crashed,ditch
