index,s1,r,s2
0,man,reports,TMZ
0,lawsuit,in,United States District Court Central District of California
0,plaintiff,suffer,anxiety
1,chef Francis,proprietor,Kuko
1,chef Francis,specializing in,airport - style sushi
1,goal,serve,most borderline not - sushi sushi
1,His,wants to serve,sushi
1,chef,by,Denver airport
1,Francis,is,Chef ’ s Table parody
1,clip,walking through,nature
2,Customers,at,bakeries
2,hour - long waits,in,Hamtramck
2,Fat Tuesday,fallen in,extreme cold snap
2,New Martha Washington Bakery,out,city
2,Eater,stopped by,metro Detroit
2,morning rush photos,in,gallery below
3,McDonald,pursuing,sustainable beef
3,sustainable beef,funding,beef
3,sustainable beef pilot programs,in,Canada
3,McDonald ’ s,putting,million
4,selfies,at,Noma
4,chef / owner Ren é Redzepi,makes,restaurant manager James Spreadbury
4,New partners,open,end
4,New partners,tell,new partners
4,Lau,in,James
6,Saudi,employed,rice
7,Sam Beall,proprietor,Blackberry Farm
7,Sam Beall,in,Knoxville
7,Sam Beall,was,39
7,They,welcome,thoughts
7,Sam Beall family,during,difficult time
7,Sam Beall,in,food world
7,Sandy Beall,founded,Ruby Tuesday in 1972
7,Sandy,purchased,member
8,German beer,not be,pure as
8,glyphosate,in,14
8,Glyphosate,developed by,American agrochemical
8,Food and Drug Administration,announced,herbicide
8,experts,at,World Health Organization
8,industry,pushed,findings
9,series,called,Other People 's Food
9,Pashman,in,food world
9,city,rife with,city
9,city,rife with,cultures
9,episode,featured,Chicago chef Rick Bayless
9,Rosie Perez,an,actress and activist
9,Perez,in,New York
10,burglar,into,Tennessee restaurant
10,Tomato Head restaurant,in,Knoxville
10,suspect,open,email
10,burger bandits,in,UK
10,burger bandits,into,soccer
10,raccoon,thirst,booze
11,London - based,startup,London - based
11,Deliveroo,specializes in,"premium "" restaurants"
11,company,delivers,mile
11,restaurants,with,restaurants
12,General Mills,issued,products
12,coli outbreak,in,20 states
12,Liz Nordlie,of,General Mills baking division
12,General Mills,working with,health officials
12,General Mills,connected,Gold Medal flour
12,General Mills,in,Wondra flour
13,widespread E. coli,sickened,coli
13,Chipotle,attempts,Chipotle act
13,Late Night With Conan,managed,training video
14,Flynn,Poking fun,dish
14,dishes,found at,ingredients
14,Eater,trying,Chef
14,Flynn,in,email
15,New York City,In,America
15,best restaurant,in,Chelsea neighborhood
15,Pepsi,opening,New York restaurant
15,PepsiCo,from,Coca - Cola
15,PepsiCo,responsible for bringing,Pepsi
16,Levi 's Stadium,in,Santa Clara
16,Levi 's Stadium,host,Super Bowl 50
16,app,found at,concession stands
16,Fans,place,Fans phones
16,Super Bowl app,incorporates,Levi 's Stadium version
16,fans,play,home games
16,touch,reach,drinks aisle
17,restaurant,love,hot sauce
17,McIlhenny Company,produces,pepper sauce
17,Tabasco Sauce Visitors Center,dubbed,Tabasco
17,formal,for,February 2
17,The McIlhenny Company,opened,McIlhenny Company Tabasco - inspired restaurant
17,The McIlhenny Company,called,1868
17,dish,contains,Tabasco sauce
18,Philadelphia,in,foods
18,Invisible Sentinel,scan for,device
18,Invisible Sentinel,scan for,coli
18,Chipotle,for,incidence
18,Blue Bell Creameries,struggled with,listeria - related illnesses
18,customers,steer clear,PR nightmares
19,New Nordic,announced,pioneer
19,Noma Australia,in,Sydney neighborhood
19,Noma Australia,by,harborside location
19,coastally,boast,oceanic plants
19,Produce items,utilized include,wild berries
19,Produce items,include,local ants
19,dishes,consult,Noma
20,woman,in,Richmond
20,Georgia Carter,contacted,local TV
20,Georgia Carter,told,local reporter
